index,OFFER,CATEGORY,UNIQUE_ID
35,"Barilla® pasta, select varieties, buy 4","{'Dry Pasta', 'Red Pasta Sauce'}",2531530c832cdfb447b150d5d62e0a3d2e52cafc4228aa8a408ac33cddd4f3e7
36,"Barilla® pasta, select varieties, buy 2","{'Dry Pasta', 'Red Pasta Sauce'}",c29a7059d41fcb7b62634da08e0a0d34c7fefe0e53681f4070512eb55d2fbcaa
37,"Any General Mills™ products, buy 2
Good Rewards Members Only","{'Cereal, Granola, & Toaster Pastries'}",d388d160ffb5bcc2946ba907c1531a1688b3fccf6cf0d9edd0b5427dfabd8e53
38,"General Mills™ products, select brands, spend $35",{'Refrigerated Doughs'},a2afe03a1c77459a69cb656dfe7d810d296f85759467b98babc55b555f9703fc
39,"General Mills™ products, select brands, spend $7 at Convenience Stores","{'Cereal, Granola, & Toaster Pastries'}",5314264d5c87cf895ea6ce2010b15f60b02bec289882b161c307f5b3e084145e
40,"General Mills™ products, select varieties, spend $12",{'Refrigerated Doughs'},92d91d16d7292bf51734de7a4ca249f9628c56b1e45965385de79eceda1edfd9
41,Egglife Egg White Wraps at Aldi,{'Eggs'},9c40b77b242dfea0029d01fc5334e348dc07c7e012defa5305e737757a8944f8
42,"DOVE® Chocolate, select sizes, buy 1",{'Candy'},29669a2527c09d9edb36d26109ffb5b7e70d6217ef8c0cbc89eec7a46a05b52d
43,"DOVE® chocolate, select varieties",{'Candy'},13a3356ef5d713b5e4cbed6c0cf93af57e1f1135bdfd8f01ddb1f322aeb3d12e
44,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,{'Condiments'},030ad2337943cb57154c76b78c0755acbd394f1d9baff7ef0ab8bc55c98643c0
45,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,"{'Condiments', 'Dressings'}",90111a6b408ffaefc991d5ff7ed0a4099ec9e9b760a6ba8270215eb37b61b8d3
46,Hellmann's | Best Foods Vegan Dressing or Spread,{'Dressings'},21b368b7d53f983d96c883915f2aa21c2799699fd2782d02d6653e41f108ba29
47,"M&M'S®, select sizes, buy 1",{'Candy'},33e85a7ff144e14b104361c7e0a39e6c51a4b7e3e215e9ef976aa9f7f4dc8c31
48,"M&M'S® chocolate candies, select varieties",{'Candy'},a576a8ceb3e2cf8395efd1a4e4ba89667693f2dea0427ec5b5cbfe250e8370bb
49,Red Gold Tomato Ketchup,{'Condiments'},cb329d652c13cdb26be3cb8a235a63bfc6ef525d76618d69258523c013c1c022
50,Red Gold Tomato Juice,{'Drink Mixes'},91d6dea05e1f5e57696a209d37318384bd68d8ceb1837134f52ebb253a6445f4
51,Gillette Venus ® for Pubic Hair & Skin spend $20,{'Hair Removal'},63ce8793de2597d23262f9f96802576d8375848418cbcd37813c4b8eee209f07
52,Gillette Venus ® for Pubic Hair & Skin,{'Hair Removal'},441fcc6ae3f205a3b5767d1ad30deb9742301fdd0f41b69ba8dc4d8e694976db
53,"Gillette Venus ® for Pubic Hair & Skin, spend $20",{'Hair Removal'},8182bff262b4e4cc38494643a02269e5c1be43eee2c828a0565ff484dcc89df9
54,"L'Oréal Paris Hair color, select varieties, spend $19 at Target",{'Hair Care'},eb466c97b6f889295f1814ca628f02cf6259530c6ed1d3f5e0ef75aeabc2791c
55,"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",{'Hair Care'},de5d238fb976dd542838b015135c2d32ca4a0cb0caf2fbc1454cd885c2e06569
56,"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",{'Hair Care'},03f6769a1c23620ea937afab4432eff896cfe4d5d77e60fead69ea279e8e45b5
57,L'Oréal Paris Excellence Hair Color at Target,{'Hair Care'},0074c9f65ffdc3b75bd60137aedca2ea5f5abd47fc74b97c71395a625025b50f
58,"L'Oréal Paris Hair color, select varieties, spend $25 at Target",{'Hair Care'},629df0ed924c56e65d69dee30f6eb5e984ba594bb5452eb2fb886d4eaa923a29
59,"L'Oréal Paris Hair color, select varieties, spend $9 at Target",{'Hair Care'},7d558870e1905d7e2ba010680f045e01b32b668e3c0efc543ce10686a72ca216
60,Simply Spiked™ Lemonade 12 pack+,"{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",15ae8957db69ccd94d53cbc089559b6186cff987425a9a0c31ee8d73c7745670
61,"Simply Spiked™ Signature Peach 12-pack or larger, buy 2","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",fd636576befa68bc75ed96e7809146dbddf8341b338c4a75c44a3ee669a17fcf
62,Simply Spiked™ 12 pack+,"{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",197e4128100bff0eb36515f8cffb03a20a21c5f421ffb75b060cc673900aea02
63,Simply Spiked™ Signature Peach 12 pack+,"{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",8dd450bfd4847349dc8045ad40e47cd1c9a6ce08f785c74b647172076d4e04b8
64,"Gorton's, at select retailers",{'Jerky & Dried Meat'},8546dbebd78c19309750fa13047f0243fbc3d5781e4d6989f48d3a2a7d7d02c6
65,"Gorton's Air Fried Butterfly Shrimp, at Walmart","{'Frozen Meals', 'Frozen Seafood'}",9fcc7f96594feb440f47a9454c1b6e20998a7065b4aedaa1b7cbb663302b8792
66,Gorton's at select retailers,{'Jerky & Dried Meat'},2b8c3017e7a82d2ad12a398fa02a66d231591b44005c5a70d71b1ddc7fc136aa
67,"Flonase Allergy Relief, at Walmart",{'Medicines & Treatments'},6527ce88fb8e98a477506467109453ae06f44f9c8f285c0f7399077cf7f28b89
68,"CESAR® Wet Dog Food, spend $20",{'Dog Supplies'},298800dbd41b01c42f5c139e6bdcc9a0d1a98d623390aa3363d05cbe4ae595cf
69,CESAR® Wet Dog Food Singles,{'Dog Supplies'},e2ed4c1d6b88c6c1cbb7912b2cf5515a3d4d544a790f3a6baa59e53dff0a9c18
70,"TWIX®, select sizes","{'Candy', 'Cookies'}",91b11eabecac955943e29a29418ba6b5438434af8a811cf50423fb6c6df2d8c6
71,"TWIX®, select varieties","{'Candy', 'Cookies'}",a32418d1043a614c3ea25d4d66f1f191c7903b852acb0d4c29fb0694930e1b5a
72,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties","{'Sauces & Marinades', 'Dips & Salsa'}",d14c0c0ac588db264ef439fe54096a29ef2674978fb259b3e97b3cfd83685fae
73,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count","{'Sauces & Marinades', 'Cooking & Baking', 'Dips & Salsa'}",c24284e61a0a23f4f237bb06daacab1b8a618c37e16117eb5b049bb6dca8dea2
74,"Hidden Valley® Ranch Seasoning, select varieties","{'Sauces & Marinades', 'Cooking & Baking', 'Dips & Salsa'}",7049e1fc3dc3ff0aaf942b43285870d2e10f240283454b2b4c7f03ca175533b6
75,Hidden Valley® Ranch Seasoning Shaker,"{'Sauces & Marinades', 'Cooking & Baking'}",b64c44bbc37959bfc039f75d475cfadc8063420ffd941e9dd321259a455f9f81
76,"Hidden Valley® Ranch Night Seasoning Mix, 1 count","{'Sauces & Marinades', 'Cooking & Baking', 'Dips & Salsa'}",b3596f3711aef6cb0337969a434bda53214d2f094db168813aa2e52a9bef5dd2
77,"Cooked Perfect® Meatballs, at Walmart",{'Frozen Chicken'},534e1017dd7cef5f685c613776f3cf726bff99322b636afff5e2daa01f6f12e7
78,"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",{'Frozen Chicken'},f8e8b6361022eefc8228b5082dc11f21e593de91c2df44176c701385f55a139b
79,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",{'Medicines & Treatments'},6c46e5532d8e295bdf9a36061e921d9d45b392d2364acd9b014e2efd13d5dca0
80,"Perfect Keto Beauty + Sleep Collagen, online at Amazon","{'Medicines & Treatments', 'Nuts & Seeds'}",4e7660624d1b81878749bb508580ff87ba0c1f3746b20962e53001e42cd206fc
81,"Perfect Keto Bars, online at Amazon","{'Medicines & Treatments', 'Nuts & Seeds'}",2717ed1d98d4b1818f4b34ee85ad104fd9338f1dbd58684e67a82b2c19fa41f7
82,"Perfect Keto Collagen Peptides, online at Amazon","{'Medicines & Treatments', 'Nuts & Seeds'}",b8c804e002388b2f939ffbb4ece2cb443da8b202c4f873ff62e37b2e4ec28bea
83,"Perfect Keto MCT Oil Powder, online at Amazon",{'Medicines & Treatments'},6e006de939b3da73f088d82c52fda045cb05ec5d15ad34beb173ffd8badb90f5
84,"Perfect Keto Super Reds, online at Amazon","{'Medicines & Treatments', 'Nuts & Seeds'}",a9ac7a7b1a4174c96ccd0542e12f6e7bdc039d12499b9c4301fbd7931a076491
85,"Perfect Keto Exogenous Ketones Powder, online at Amazon","{'Medicines & Treatments', 'Nuts & Seeds'}",9ff3a7478f0c011c8b4f4d21071e848859c2edc4bb750814bb1f66a53ef9a873
86,"Crunchmaster® Crackers, spend $4",{'Crackers'},4f2e70789ab026eb05b792c7dadebeb5aaa84d38b12eff3589d26a2da231c84b
87,"Tyson Products, select varieties, spend $20 at Sam's Club","{'Frozen Beef', 'Packaged Meat'}",fedcf35e098a7fe25a48beda378ae572d6048fc57c547180a9094400c1c4a797
88,"L'Oréal Paris Makeup, spend $35 at Target",{'Makeup'},5288d138a654533706644904a66d7447afe91f5d371021873fb5bdb724383514
89,"L'Oréal Paris Makeup, spend $30 at Target",{'Makeup'},f022122e80848640bd7bec9f411509f7ffe7c0d82eb7a8fa145e73470622b249
90,L'Oreal Paris True Match Foundation at Target,{'Makeup'},902110e2739e4681e571396ad9a9d2dcb5543f25f329610ab2be8ab0dc64dc04
91,L'Oréal Paris True Match Foundation at Target,{'Makeup'},84779b6f84d895e0b49d2dd7ddd576e5e52c8dffdc33f6e5d737a84e8d763a25
92,"Chosen Foods® Mayo, select varieties",{'Condiments'},04512d2e1d2db5b3071b391996734dfdc2c47fdb1e419c6178395fe9d30f6853
93,Chosen Foods® Dressings,"{'Condiments', 'Dressings'}",54d8620fc06bcee653588b41ab75f8cd375680039e95811fee65d76d2ee371e2
94,"Wine from TheBarrelRoom.com, spend $30",{'Wine'},0b3738d9a5e7a960354154ff57fe73787e08caaf7878b87daa5d46eb6a00dd4f
95,"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",{'Carbonated Soft Drinks'},b056862db6c698f68117ff0d74fb5d238f0e8e5727988222106b199e7fcb77f1
96,"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",{'Carbonated Soft Drinks'},89ea03dcc9fbfda69af965636b277e5f7292e336c1c0c6b12abc51e133c8fdc1
97,"Sara Lee® bread, select varieties, buy 2 at Walmart®",{'Bread'},7c31afd8f04bb9bacef7fd37a6dfda39b9725a4e9e3898c40656fd26a912ac09
98,"Sara Lee® bread select varieties, buy 2","{'Bakery', 'Bread'}",4f3799b2b35ebc0a1abbf8156e1e3e5bd7f32378182d42df360979b083a8af6d
99,"Sara Lee® Delightful bread, buy 2",{'Bread'},89bc310b4d09f49cc09b48cb3a0be6d62f36a309d2da12a66810592972ae124f
100,"Sara Lee® or Alfaros® Artesano bread, buy 5",{'Bread'},4d957b9894d566bef18c1fc74c637c0d10974d82ee02292f02c29b5c20e2f4b6
101,"Sara Lee® or Alfaros® Artesano bread, spend $8","{'Bakery', 'Bread'}",215dc581f4ce310c95785ceb55e045be0fb8051e951c601c79fed8277accf11c
102,"Sara Lee® or Alfaros® Artesano bread, buy 2",{'Bread'},dda9cb118f90bb6c1f65fb18faddb083f9a2ea03f276e995826372d66e13c387
103,"Sara Lee® or Alfaros® Artesano bread, spend $20","{'Bakery', 'Bread'}",6750c7ed4ac5dc6e706ad336dba48b94cc16a2acb47db0723a3d4e5555f6b481
104,"Bai® Antioxidant, 6 pack, buy 2 at Walmart","{'Drink Mixes', 'Fruit Juices', 'Water'}",2b19dcb1a25cc9e2ec139600b9c37d098de5319294a624e08795368dffde3628
105,"Bai® Antioxidant, 6 pack, at Walmart","{'Drink Mixes', 'Fruit Juices'}",2caa5882e5f871d4271d565df20e019efdd36f6f43b122ee5c41899d60387b2a
106,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",{'Frozen Desserts'},dc2fbda7d59fb16c082841697ef9e45d8e1b4dffe36e231e87a80ca3ebad5cd9
107,"Klondike Cones, spend $10 at Walmart ",{'Frozen Desserts'},d306f37cd58e4258cce42e00a969f5ffdb3220aba6c4583068afda81074ff4fe
108,Klondike Cones at Walmart ,{'Frozen Desserts'},d703320f57577282f1f7739a0140879a587de9fe688b6f40a701cd89dea1cb90
109,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",{'Packaged Meals & Sides'},616e328c0e565ba4fc404c196eca6c570e02bce14ed04a75a4495f8fd86e2863
110,"Back to the Roots Soils, select varieties and sizes, at Walmart",{'Packaged Meals & Sides'},482aa70b7ee71bd420acd7328c7bbc59eb1fcc2774539e73826ff7c3734c2ab2
111,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",{'Packaged Meals & Sides'},1ef08e74842c7284f8c4b78b917aee36f644e1dd1ff58c0ec7e6bb949ca4b5e9
112,"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",{'Packaged Meals & Sides'},04dbacfcd440bc2b4338d5b649f4f8bd7b25092d63abdbf322b637b73482d0e2
113,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",{'Packaged Meals & Sides'},0f3bfe7e25e051b5672c596829b96b8c70115dc98aaf4ceff26e9ed5a3298d3d
114,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,{'Packaged Meals & Sides'},042d8b9f3e70489bf9f412f4d7b4fbc37ca311b94ae77f11ed7808933b715348
115,"Back to the Roots Soils, select varieties and sizes, at Lowes",{'Packaged Meals & Sides'},8fded27f23ca25e1d8b62a4981e05027be5e2b61997ec493c15213b2a16ab241
